iter	MultiClass
0	1.093568242
1	1.089171933
2	1.085083955
3	1.08124488
4	1.077624828
5	1.074227838
6	1.071194939
7	1.06846433
8	1.065570037
9	1.062962937
10	1.060647961
11	1.058494576
12	1.056436103
13	1.054278723
14	1.052543987
15	1.050965898
16	1.049487663
17	1.047884242
18	1.046305574
19	1.045044876
20	1.043596028
21	1.042350267
22	1.041263695
23	1.040163518
24	1.038710307
25	1.03766258
26	1.036555677
27	1.035550276
28	1.034518606
29	1.033490045
30	1.032419487
31	1.031378409
32	1.030305597
33	1.029471427
34	1.028683267
35	1.027835883
36	1.027255154
37	1.026413988
38	1.02555426
39	1.024788999
40	1.024227666
41	1.023340719
42	1.022767561
43	1.022046035
44	1.0213945
45	1.020480017
46	1.019829461
47	1.018973505
48	1.018488043
49	1.017608886
50	1.016807157
51	1.016295311
52	1.015801677
53	1.015381006
54	1.015019157
55	1.014544778
56	1.013958426
57	1.013264117
58	1.012803791
59	1.012388972
60	1.011736757
61	1.011147881
62	1.010562621
63	1.009683301
64	1.008981481
65	1.008229834
66	1.007838948
67	1.007085364
68	1.00632035
69	1.005722634
70	1.005200041
71	1.004765182
72	1.004146653
73	1.003812265
74	1.003319972
75	1.002633808
76	1.002204419
77	1.001583221
78	1.001253539
79	1.000495043
80	0.9998747136
81	0.9994773228
82	0.999125232
83	0.9988087803
84	0.998292352
85	0.997471741
86	0.9970728915
87	0.9967030244
88	0.9960524646
89	0.9956746432
90	0.9951218309
91	0.9945715341
92	0.9939963797
93	0.9934792982
94	0.9928325835
95	0.9923907732
96	0.9921295073
97	0.9914511749
98	0.9910906258
99	0.9907895425
100	0.9901572088
101	0.9895976627
102	0.989033314
103	0.9887981042
104	0.9883701857
105	0.987842044
106	0.987447108
107	0.9870448733
108	0.9868212773
109	0.9865762286
110	0.9861428038
111	0.985778301
112	0.9852408324
113	0.9849702236
114	0.9844115184
115	0.9840089004
116	0.983642369
117	0.9831987736
118	0.9827116232
119	0.9821492102
120	0.9816801525
121	0.9810216496
122	0.9807648645
123	0.9803764809
124	0.9799130263
125	0.9795109815
126	0.9789740176
127	0.9786696986
128	0.9783664579
129	0.9779727043
130	0.9775691882
131	0.9772194916
132	0.9767736335
133	0.976485724
134	0.9760177968
135	0.9756251846
136	0.9753992039
137	0.9748363232
138	0.9744822241
139	0.9739720361
140	0.9736171325
141	0.9728654952
142	0.9722586873
143	0.9717901932
144	0.9715825201
145	0.9710116101
146	0.9701405643
147	0.9697698964
148	0.969439398
149	0.9688310226
150	0.9683722124
151	0.9679088912
152	0.967309025
153	0.9670423906
154	0.9666409081
155	0.9662795836
156	0.965896236
157	0.9655923442
158	0.9652465601
159	0.9647774935
160	0.9644027303
161	0.9640412079
162	0.9637028939
163	0.9633919725
164	0.963045584
165	0.9627173171
166	0.9620742953
167	0.9615776513
168	0.9613016108
169	0.9610031359
170	0.9606719538
171	0.9603203416
172	0.9601071956
173	0.9598281501
174	0.9594849551
175	0.9592250581
176	0.9588878049
177	0.9586477695
178	0.9583634663
179	0.9575770148
180	0.9573021528
181	0.9569049278
182	0.9564687326
183	0.956067038
184	0.95564549
185	0.9552477889
186	0.9548783841
187	0.95447978
188	0.9543125489
189	0.9539424659
190	0.9532568142
191	0.9528539677
192	0.9524661952
193	0.9521113075
194	0.951933183
195	0.9515908389
196	0.9507306335
197	0.9503635616
198	0.9496076168
199	0.9490208893
200	0.9488466749
201	0.9481248827
202	0.9477719341
203	0.9473390597
204	0.9469504265
205	0.9465417355
206	0.9461173423
207	0.9456905291
208	0.9452735986
209	0.9447451774
210	0.9441152342
211	0.943828572
212	0.943234191
213	0.9423982454
214	0.9420264068
215	0.9417176462
216	0.9411666733
217	0.940407075
218	0.9400217639
219	0.9393799099
220	0.9389269333
221	0.9382740806
222	0.9379631255
223	0.9376104534
224	0.9372924503
225	0.9367451921
226	0.9364014286
227	0.9360863727
228	0.9354841671
229	0.9348151996
230	0.9343630509
231	0.9340131312
232	0.9334254735
233	0.9329382928
234	0.932327759
235	0.9321177063
236	0.9318626123
237	0.9315164336
238	0.9310289848
239	0.9308634646
240	0.9302689968
241	0.929874509
242	0.9295861513
243	0.92916979
244	0.9287881819
245	0.927761898
246	0.9271793451
247	0.9266200683
248	0.9262562159
249	0.9256891451
250	0.9252105103
251	0.9248404898
252	0.9241355829
253	0.9237453719
254	0.9232032113
255	0.9221256571
256	0.9216971068
257	0.9210990332
258	0.9207913808
259	0.9202250431
260	0.9200219824
261	0.9191032338
262	0.9184953471
263	0.9181027725
264	0.9178866248
265	0.9174195341
266	0.9172519661
267	0.916911884
268	0.9162538045
269	0.9156985679
270	0.9153717252
271	0.9151705427
272	0.9149547945
273	0.9146257792
274	0.9141969707
275	0.9133152628
276	0.9126777321
277	0.9118372301
278	0.9114047237
279	0.9104470178
280	0.9100587048
281	0.9094859864
282	0.9091431561
283	0.9086468381
284	0.9082770442
285	0.9076771316
286	0.9072888541
287	0.9069718969
288	0.9064476405
289	0.905822432
290	0.9053901985
291	0.9050936143
292	0.9047990631
293	0.9040614845
294	0.9036985405
295	0.9034034637
296	0.9029968826
297	0.9025213346
298	0.9018276885
299	0.9015537107
300	0.90132769
301	0.9010152946
302	0.9007011993
303	0.9001584611
304	0.8996649716
305	0.8992652049
306	0.8989591318
307	0.8985491802
308	0.8981155368
309	0.8977340084
310	0.8972750046
311	0.8964428617
312	0.8959541211
313	0.8956524209
314	0.8950184451
315	0.8946177496
316	0.8940186508
317	0.8936823083
318	0.893094426
319	0.8926912836
320	0.8923539281
321	0.8919757187
322	0.891569289
323	0.8910353784
324	0.8906922492
325	0.8901585742
326	0.8896449744
327	0.8892160494
328	0.8885117737
329	0.8882322013
330	0.8878120788
331	0.8876224349
332	0.8873712653
333	0.8865437639
334	0.8864095475
335	0.8862706369
336	0.8859563298
337	0.8854982913
338	0.8851592307
339	0.8849378246
340	0.8846637331
341	0.8845816361
342	0.8839885733
343	0.8837331311
344	0.8833215936
345	0.8830868146
346	0.8827380518
347	0.8824434601
348	0.8821173426
349	0.8817831169
350	0.8813722533
351	0.8808181202
352	0.8800880739
353	0.8798342311
354	0.8792415834
355	0.8788773184
356	0.8779061213
357	0.877683559
358	0.8773948876
359	0.8767223121
360	0.8764502638
361	0.8760443281
362	0.8756840836
363	0.875263727
364	0.8750053099
365	0.8744381247
366	0.8742512655
367	0.8739435156
368	0.8732807185
369	0.8728639135
370	0.8723506085
371	0.8718563342
372	0.8713704953
373	0.8709868443
374	0.8705293963
375	0.8701672345
376	0.8696496099
377	0.8691468133
378	0.8689462197
379	0.8685403605
380	0.8681615397
381	0.8676148744
382	0.8671981821
383	0.8668210594
384	0.8664079225
385	0.8658729411
386	0.8655208718
387	0.865132596
388	0.8648243994
389	0.8644905353
390	0.8640452067
391	0.8635916614
392	0.8632439892
393	0.8628689145
394	0.8625571134
395	0.8622162749
396	0.8615834681
397	0.861407444
398	0.8608592818
399	0.8605766985
400	0.8601460004
401	0.8597920832
402	0.8593781206
403	0.8589089849
404	0.8586833409
405	0.8583707384
406	0.8580298197
407	0.8577047268
408	0.8572232129
409	0.8568999249
410	0.8567017619
411	0.856241817
412	0.8560050459
413	0.855721646
414	0.8552596156
415	0.8548180667
416	0.8541793519
417	0.8537371761
418	0.8535369692
419	0.8531572229
420	0.8528280903
421	0.8525723781
422	0.8523190854
423	0.8517980819
424	0.8515688913
425	0.8510718342
426	0.8505098377
427	0.8503057376
428	0.8498620274
429	0.8494920474
430	0.8493422935
431	0.8491473081
432	0.848776557
433	0.8484827261
434	0.8481045511
435	0.8476584945
436	0.8473386785
437	0.8470387228
438	0.8466812444
439	0.8462391329
440	0.8458480084
441	0.8455524095
442	0.8451830587
443	0.8448751978
444	0.8444104516
445	0.8440420654
446	0.8435512758
447	0.8433224095
448	0.8426441091
449	0.8423611329
450	0.8418250016
