iter	Passed	Remaining
0	109	219611
1	159	159774
2	212	141445
3	273	136307
4	325	130047
5	376	125268
6	429	122361
7	482	120257
8	531	117552
9	581	115739
10	631	114196
11	686	113688
12	737	112721
13	786	111528
14	836	110739
15	885	109859
16	940	109711
17	993	109403
18	1044	108919
19	1092	108199
20	1141	107547
21	1200	107897
22	1246	107146
23	1297	106858
24	1356	107139
25	1412	107244
26	1469	107374
27	1520	107090
28	1569	106649
29	1618	106289
30	1677	106567
31	1729	106390
32	1781	106194
33	1831	105885
34	1886	105914
35	1933	105475
36	1975	104828
37	2024	104502
38	2078	104535
39	2130	104374
40	2174	103895
41	2221	103577
42	2268	103225
43	2320	103136
44	2367	102840
45	2416	102652
46	2462	102334
47	2510	102101
48	2562	102047
49	2616	102057
50	2662	101766
51	2711	101566
52	2753	101147
53	2805	101094
54	2849	100774
55	2893	100434
56	2941	100262
57	2986	99984
58	3038	99963
59	3091	99945
60	3141	99871
61	3190	99739
62	3235	99492
63	3292	99605
64	3342	99512
65	3392	99397
66	3440	99264
67	3492	99214
68	3550	99359
69	3599	99245
70	3645	99038
71	3691	98854
72	3739	98714
73	3789	98629
74	3841	98610
75	3888	98448
76	3936	98309
77	3982	98144
78	4036	98156
79	4087	98090
80	4138	98054
81	4183	97845
82	4227	97638
83	4277	97566
84	4334	97653
85	4384	97582
86	4430	97427
87	4473	97195
88	4532	97326
89	4580	97200
90	4630	97133
91	4678	97027
92	4727	96932
93	4786	97057
94	4835	96961
95	4878	96747
96	4920	96540
97	4967	96400
98	5018	96363
99	5066	96271
100	5116	96205
101	5161	96047
102	5211	95974
103	5261	95922
104	5310	95842
105	5359	95759
106	5403	95596
107	5448	95443
108	5494	95323
109	5560	95542
110	5618	95614
111	5665	95498
112	5715	95435
113	5758	95273
114	5803	95118
115	5848	94983
116	5892	94836
117	5942	94779
118	5986	94633
119	6035	94551
120	6082	94461
121	6132	94403
122	6180	94310
123	6228	94227
124	6273	94102
125	6321	94020
126	6366	93898
127	6416	93847
128	6463	93743
129	6510	93655
130	6557	93562
131	6602	93434
132	6659	93480
133	6706	93393
134	6754	93311
135	6799	93188
136	6841	93034
137	6896	93057
138	6947	93018
139	6997	92972
140	7045	92884
141	7093	92808
142	7145	92793
143	7197	92763
144	7239	92621
145	7288	92552
146	7336	92482
147	7390	92481
148	7440	92430
149	7492	92404
150	7538	92314
151	7583	92203
152	7639	92226
153	7682	92094
154	7728	91997
155	7776	91918
156	7824	91846
157	7877	91839
158	7923	91742
159	7976	91727
160	8019	91597
161	8061	91464
162	8111	91417
163	8154	91286
164	8198	91178
165	8243	91075
166	8291	91002
167	8342	90973
168	8389	90894
169	8434	90798
170	8479	90698
171	8528	90637
172	8578	90589
173	8623	90498
174	8667	90391
175	8713	90305
176	8756	90190
177	8803	90107
178	8847	90005
179	8894	89928
180	8939	89840
181	8984	89748
182	9033	89693
183	9082	89644
184	9133	89608
185	9184	89578
186	9236	89551
187	9286	89507
188	9328	89386
189	9378	89345
190	9426	89283
191	9476	89237
192	9518	89118
193	9564	89035
194	9606	88917
195	9653	88853
196	9706	88835
197	9756	88791
198	9802	88712
199	9851	88666
200	9891	88534
201	9943	88503
202	9987	88407
203	10031	88318
204	10077	88238
205	10121	88148
206	10173	88120
207	10220	88049
208	10264	87956
209	10310	87885
210	10354	87792
211	10400	87715
212	10447	87648
213	10491	87562
214	10534	87457
215	10575	87342
216	10629	87336
217	10677	87278
218	10725	87220
219	10775	87184
220	10832	87202
221	10903	87325
222	10957	87314
223	11004	87253
224	11052	87191
225	11095	87097
226	11137	86991
227	11179	86888
228	11223	86796
229	11271	86740
230	11315	86650
231	11356	86540
232	11401	86467
233	11444	86368
234	11492	86318
235	11536	86227
236	11574	86102
237	11618	86015
238	11663	85938
239	11706	85844
240	11755	85797
241	11800	85726
242	11845	85648
243	11890	85570
244	11940	85533
245	11988	85479
246	12034	85412
247	12078	85332
248	12124	85257
249	12172	85209
250	12219	85147
251	12264	85072
252	12308	84990
253	12349	84892
254	12402	84873
255	12449	84814
256	12491	84720
257	12534	84634
258	12579	84558
259	12627	84509
260	12672	84432
261	12720	84379
262	12769	84338
263	12813	84256
264	12857	84181
265	12902	84109
266	12944	84018
267	12988	83939
268	13035	83882
269	13080	83809
270	13123	83727
271	13165	83637
272	13206	83541
273	13250	83467
274	13300	83431
275	13346	83366
276	13393	83308
277	13439	83249
278	13482	83165
279	13534	83138
280	13578	83063
281	13621	82982
282	13663	82898
283	13707	82822
284	13748	82731
285	13796	82680
286	13844	82631
287	13890	82569
288	13937	82512
289	13989	82487
290	14037	82441
291	14084	82384
292	14126	82302
293	14179	82277
294	14227	82229
295	14275	82182
296	14321	82117
297	14367	82060
298	14415	82008
299	14465	81970
300	14511	81908
301	14556	81844
302	14598	81763
303	14643	81694
304	14695	81671
305	14740	81603
306	14784	81529
307	14827	81453
308	14873	81392
309	14921	81347
310	14964	81269
311	15013	81226
312	15057	81156
313	15102	81092
314	15159	81091
315	15204	81025
316	15249	80964
317	15293	80893
318	15339	80834
319	15391	80807
320	15435	80738
321	15485	80695
322	15529	80629
323	15572	80552
324	15618	80497
325	15664	80434
326	15710	80377
327	15758	80331
328	15806	80283
329	15856	80242
330	15903	80191
331	15944	80108
332	15985	80024
333	16034	79982
334	16078	79914
335	16119	79828
336	16165	79770
337	16215	79733
338	16265	79695
339	16313	79647
340	16358	79585
341	16397	79493
342	16441	79425
343	16484	79357
344	16529	79295
345	16575	79235
346	16619	79171
347	16663	79105
348	16707	79039
349	16756	78993
350	16801	78934
351	16852	78900
352	16899	78846
353	16941	78774
354	16990	78731
355	17032	78654
356	17081	78612
357	17124	78543
358	17166	78466
359	17218	78438
360	17259	78361
361	17305	78305
362	17351	78249
363	17397	78191
364	17443	78139
365	17491	78090
366	17533	78015
367	17577	77951
368	17624	77903
369	17675	77869
370	17723	77821
371	17768	77760
372	17813	77701
373	17856	77633
374	17905	77590
375	17947	77519
376	17990	77449
377	18035	77389
378	18075	77310
379	18124	77269
380	18173	77223
381	18221	77177
382	18269	77134
383	18318	77088
384	18368	77052
385	18413	76992
386	18456	76927
387	18502	76872
388	18544	76798
389	18590	76745
390	18637	76693
391	18686	76652
392	18731	76595
393	18779	76548
394	18828	76505
395	18876	76460
396	18922	76406
397	18965	76336
398	19010	76281
399	19058	76234
400	19104	76178
401	19163	76177
402	19214	76141
403	19266	76111
404	19313	76062
405	19359	76008
406	19403	75944
407	19449	75890
408	19497	75845
409	19543	75791
410	19587	75729
411	19633	75676
412	19677	75614
413	19724	75562
414	19770	75509
415	19815	75449
416	19862	75400
417	19904	75333
418	19950	75277
419	19996	75225
420	20043	75175
421	20086	75110
422	20130	75048
423	20181	75014
424	20225	74952
425	20272	74904
426	20320	74856
427	20363	74791
428	20412	74750
429	20458	74697
430	20500	74629
431	20545	74572
432	20591	74518
433	20641	74481
434	20694	74453
435	20745	74416
436	20789	74357
437	20835	74303
438	20883	74258
439	20928	74202
440	20973	74145
441	21018	74086
442	21062	74026
443	21111	73985
444	21157	73933
445	21203	73878
446	21251	73834
447	21295	73772
448	21343	73728
449	21389	73675
450	21438	73632
451	21481	73569
452	21524	73506
453	21576	73473
454	21625	73430
455	21667	73364
456	21710	73302
457	21757	73254
458	21807	73214
459	21860	73184
460	21910	73145
461	21965	73123
462	22023	73110
463	22079	73089
464	22128	73049
465	22176	73002
466	22219	72940
467	22273	72911
468	22324	72875
469	22370	72824
470	22419	72780
471	22467	72733
472	22521	72708
473	22572	72670
474	22624	72635
475	22673	72594
476	22720	72544
477	22781	72537
478	22827	72486
479	22874	72435
480	22922	72388
481	22972	72349
482	23026	72319
483	23079	72290
484	23129	72251
485	23183	72221
486	23235	72185
487	23285	72147
488	23334	72102
489	23388	72075
